,0.1,0.2,0.3,0.4,0.5
NOR,True,True,True,True,True
CHE,False,False,False,False,False
SWE,True,False,False,True,False
ITA,False,False,False,False,False
ESP,False,False,False,False,False
FRA,False,False,False,False,False
