,0.1,0.2,0.3,0.4,0.5
NOR,3.59375,2.578125,2.1875,1.9140625,1.6875
CHE,2.578125,2.5,2.0833333333333335,1.875,1.6718749999999998
SWE,4.375,3.1640625,2.5260416666666665,2.16796875,1.875
ITA,2.03125,1.5625,1.4322916666666665,1.30859375,1.2656249999999998
ESP,1.015625,1.1328125,0.9635416666666666,0.99609375,0.9531249999999999
FRA,1.015625,0.9375,0.9895833333333333,0.9765625,1.015625
