,0.9,0.8,0.7,0.6,0.5
NOR,1.4374999999999998,2.09375,1.8958333333333333,1.6875,1.4749999999999999
CHE,1.125,1.09375,1.0,0.96875,0.8749999999999999
SWE,1.875,1.9687499999999998,1.7708333333333333,1.703125,1.5499999999999998
ITA,1.4999999999999998,1.4374999999999998,1.3125,1.3125,1.275
ESP,1.875,1.71875,1.5833333333333333,1.46875,1.4124999999999999
FRA,1.125,1.0625,1.0,0.9843749999999999,1.0499999999999998
